,loginNum,continuesNum,backStatus,openStocks,openRatios,openNums,backTenStocks,backTenNums,monitorStocks,monitorRatios
2016-01-04,0.0,,,,,,,,,
2016-01-05,0.0,,,,,,,,,
2016-01-06,1.0,14.0,False,,,,,,,
2016-01-07,0.0,,,,,,,,,
2016-01-08,0.0,,,,,,,,,
2016-01-11,0.0,,,,,,,,,
2016-01-12,0.0,,,,,,,,,
2016-01-13,0.0,,,,,,,,,
2016-01-14,0.0,,,,,,,,,
2016-01-15,0.0,,,,,,,,,
2016-01-18,0.0,,,,,,,,,
2016-01-19,0.0,,,,,,,,,
2016-01-20,0.0,,,,,,,,,
2016-01-21,0.0,,,,,,,,,
2016-01-22,0.0,,,,,,,,,
2016-01-25,0.0,,,,,,,,,
2016-01-26,0.0,,,002778,-10.01,1.0,,,,
2016-01-27,0.0,,,,,,,,,
2016-01-28,0.0,,,,,,,,,
2016-01-29,0.0,,,,,,,,,
2016-02-01,0.0,,,,,,,,,
2016-02-02,1.0,13.0,True,,,,,,,
2016-02-03,0.0,,,,,,,,,
2016-02-04,2.0,11.0,False,,,,,,,
2016-02-05,1.0,10.0,True,,,,,,,
2016-02-15,1.0,10.0,False,,,,,,,
2016-02-16,0.0,,,,,,,,,
2016-02-17,0.0,,,,,,,,,
2016-02-18,2.0,8.0,False,,,,,,,
2016-02-19,0.0,,,,,,,,,
2016-02-22,0.0,,,,,,,,,
2016-02-23,0.0,,,,,,,,,
2016-02-24,0.0,,,,,,603377,1.0,,
2016-02-25,0.0,,,,,,300499,1.0,603377,10.0
2016-02-26,0.0,,,300499_300500_300501_603377,-10.0_-3.32_9.92_-10.0,4.0,,,300499_603377,-10.0_-10.0
2016-02-29,0.0,,,601900,5.57,1.0,,,,
2016-03-01,0.0,,,002788_603608,1.99_-4.07,2.0,,,,
2016-03-02,0.0,,,,,,,,,
2016-03-03,1.0,11.0,True,,,,,,,
2016-03-04,0.0,,,,,,,,,
2016-03-07,1.0,9.0,True,,,,,,,
2016-03-08,1.0,8.0,False,,,,,,,
2016-03-09,2.0,14.0,False,,,,,,,
2016-03-10,1.0,7.0,False,,,,,,,
2016-03-11,1.0,7.0,False,,,,,,,
2016-03-14,0.0,,,,,,,,,
2016-03-15,1.0,11.0,True,,,,,,,
2016-03-16,1.0,10.0,True,,,,,,,
2016-03-17,0.0,,,,,,300502_603027,2.0,,
2016-03-18,0.0,,,300502_603027_002790,-0.45_3.0_4.45,3.0,,,300502_603027,-0.45_3.0
2016-03-21,0.0,,,603919,5.3,1.0,,,,
2016-03-22,2.0,9.0,True,002789,4.75,1.0,603520,1.0,,
2016-03-23,0.0,,,603520,1.74,1.0,,,603520,1.74
2016-03-24,1.0,15.0,True,,,,,,,
2016-03-25,0.0,,,,,,,,,
2016-03-28,1.0,10.0,True,,,,,,,
2016-03-29,1.0,7.0,True,300503,0.83,1.0,300505_601020,2.0,,
2016-03-30,0.0,,,300505_601020,2.38_4.1,2.0,,,300505_601020,2.38_4.1
2016-03-31,2.0,20.0,False,,,,,,,
2016-04-01,0.0,,,,,,603861,1.0,,
2016-04-05,0.0,,,603861,4.54,1.0,,,603861,4.54
2016-04-06,1.0,13.0,True,,,,,,,
2016-04-07,0.0,,,,,,002791,1.0,,
2016-04-08,0.0,,,002791,-6.29,1.0,,,002791,-6.29
2016-04-11,0.0,,,,,,300506_002792,2.0,,
2016-04-12,1.0,14.0,True,002792,3.7,1.0,,,300506_002792,10.0_3.7
2016-04-13,0.0,,,,,,,,300506,9.99
2016-04-14,0.0,,,,,,,,300506,10.0
2016-04-15,1.0,14.0,True,300506,6.45,1.0,,,300506,6.45
2016-04-18,1.0,10.0,True,,,,,,,
2016-04-19,1.0,15.0,False,,,,300484,1.0,,
2016-04-20,0.0,,,300484,3.38,1.0,,,300484,3.38
2016-04-21,1.0,12.0,True,,,,,,,
2016-04-22,0.0,,,,,,603798,1.0,,
2016-04-25,1.0,11.0,False,603798,-7.13,1.0,603028,1.0,603798,-7.13
2016-04-26,0.0,,,,,,,,603028,10.0
2016-04-27,1.0,12.0,True,603028,1.13,1.0,,,603028,1.13
2016-04-28,2.0,11.0,True,,,,,,,
2016-04-29,1.0,9.0,False,300474,3.04,1.0,603701_603868,2.0,,
2016-05-03,1.0,18.0,True,603701_603868,-2.65_-5.13,2.0,,,603701_603868,-2.65_-5.13
2016-05-04,1.0,9.0,False,,,,,,,
2016-05-05,0.0,,,,,,002793,1.0,,
2016-05-06,2.0,10.0,False,002793,-5.61,1.0,,,002793,-5.61
2016-05-09,0.0,,,,,,603726,1.0,,
2016-05-10,1.0,11.0,False,603726,-10.0,1.0,,,603726,-10.0
2016-05-11,1.0,6.0,True,300508_300509,-10.0_3.34,2.0,,,,
2016-05-12,0.0,,,002795,0.55,1.0,,,,
2016-05-13,0.0,,,300507,4.91,1.0,603029_603822,2.0,,
2016-05-16,1.0,20.0,True,603029_603822,-2.53_1.84,2.0,,,603029_603822,-2.53_1.84
2016-05-17,1.0,17.0,True,300511,5.01,1.0,,,,
2016-05-18,0.0,,,603101,4.61,1.0,002797,1.0,,
2016-05-19,1.0,14.0,True,002797,-3.2,1.0,,,002797,-3.2
2016-05-20,0.0,,,300510,5.46,1.0,,,,
2016-05-23,0.0,,,,,,,,,
2016-05-24,0.0,,,,,,,,,
2016-05-25,1.0,19.0,True,002796,9.55,1.0,,,,
2016-05-26,1.0,12.0,True,,,,603528,1.0,,
2016-05-27,0.0,,,603528,1.03,1.0,,,603528,1.03
2016-05-30,2.0,23.0,True,,,,,,,
2016-05-31,0.0,,,,,,,,,
2016-06-01,0.0,,,,,,,,,
2016-06-02,1.0,18.0,False,,,,,,,
2016-06-03,1.0,18.0,True,,,,603339,1.0,,
2016-06-06,1.0,16.0,False,,,,,,603339,10.01
2016-06-07,1.0,22.0,True,,,,603959,1.0,603339,10.01
2016-06-08,2.0,22.0,False,603339,6.63,1.0,,,603959_603339,10.0_6.63
2016-06-13,0.0,,,603959,0.53,1.0,,,603959,0.53
2016-06-14,0.0,,,,,,603779_300512,2.0,,
2016-06-15,1.0,18.0,False,603779_300512,1.58_0.83,2.0,,,603779_300512,1.58_0.83
2016-06-16,0.0,,,,,,,,,
2016-06-17,0.0,,,,,,,,,
2016-06-20,0.0,,,,,,,,,
2016-06-21,0.0,,,,,,002798,1.0,,
2016-06-22,1.0,19.0,False,,,,,,002798,10.01
2016-06-23,0.0,,,002798,-0.47,1.0,,,002798,-0.47
2016-06-24,2.0,21.0,False,,,,,,,
2016-06-27,0.0,,,,,,,,,
2016-06-28,1.0,18.0,False,,,,,,,
2016-06-29,2.0,17.0,False,,,,,,,
2016-06-30,0.0,,,300516_601611,6.99_0.0,2.0,603737,1.0,,
2016-07-01,1.0,15.0,False,300513_603737,5.27_-3.68,2.0,002800,1.0,603737,-3.68
2016-07-04,0.0,,,002800,-0.23,1.0,,,002800,-0.23
2016-07-05,2.0,17.0,False,,,,,,,
2016-07-06,1.0,9.0,False,,,,,,,
2016-07-07,1.0,22.0,True,300515,0.0,1.0,,,,
2016-07-08,1.0,21.0,False,,,,603131,1.0,,
2016-07-11,0.0,,,603131_601127,-9.4_0.43,2.0,,,603131,-9.4
2016-07-12,2.0,20.0,False,002799,-4.28,1.0,,,,
2016-07-13,0.0,,,,,,,,,
2016-07-14,0.0,,,,,,,,,
2016-07-15,0.0,,,,,,,,,
2016-07-18,0.0,,,,,,,,,
2016-07-19,1.0,17.0,True,002801_603958_601966,8.46_6.35_5.04,3.0,,,,
2016-07-20,0.0,,,,,,,,,
2016-07-21,0.0,,,300518,-2.33,1.0,,,,
2016-07-22,0.0,,,603909_002802_603016,-10.0_-1.16_0.3,3.0,,,,
2016-07-25,0.0,,,300519_300522,-8.63_2.02,2.0,,,,
2016-07-26,3.0,22.0,False,,,,,,,
2016-07-27,0.0,,,,,,,,,
2016-07-28,1.0,18.0,True,300521,8.77,1.0,,,,
2016-07-29,0.0,,,,,,,,,
2016-08-01,1.0,20.0,False,,,,,,,
2016-08-02,3.0,19.0,False,,,,603069,1.0,,
2016-08-03,0.0,,,,,,,,603069,10.0
2016-08-04,0.0,,,603069,-1.94,1.0,,,603069,-1.94
2016-08-05,1.0,16.0,False,,,,002805_600919,2.0,,
2016-08-08,2.0,16.0,False,002805_300520_600919,-6.0_2.91_-4.58,3.0,,,002805_600919,-6.0_-4.58
2016-08-09,3.0,19.0,True,002803,4.95,1.0,,,,
2016-08-10,1.0,12.0,True,,,,300517,1.0,,
2016-08-11,0.0,,,300517,2.44,1.0,,,300517,2.44
2016-08-12,3.0,18.0,True,,,,,,,
2016-08-15,1.0,11.0,False,,,,,,,
2016-08-16,1.0,6.0,True,,,,,,,
2016-08-17,1.0,13.0,True,,,,,,,
2016-08-18,3.0,13.0,False,,,,,,,
2016-08-19,1.0,10.0,True,,,,,,,
2016-08-22,1.0,15.0,False,300523,6.48,1.0,603322,1.0,,
2016-08-23,2.0,12.0,False,603322,4.07,1.0,601997,1.0,603322,4.07
2016-08-24,0.0,,,601997,4.37,1.0,,,601997,4.37
2016-08-25,0.0,,,300525_600977,5.94_6.03,2.0,300529_601811_603569,3.0,,
2016-08-26,3.0,16.0,False,300529_601811_603569,-3.46_-4.29_-7.98,3.0,002806,1.0,300529_601811_603569,-3.46_-4.29_-7.98
2016-08-29,0.0,,,002806_603663_300526_300527,-9.99_-0.65_-5.34_-1.75,4.0,,,002806,-9.99
2016-08-30,2.0,18.0,False,300528_600936,4.09_-0.61,2.0,,,,
2016-08-31,1.0,17.0,False,,,,603515,1.0,,
2016-09-01,1.0,12.0,False,,,,,,603515,10.0
2016-09-02,1.0,10.0,False,603515,-0.02,1.0,300531_300530_601595,3.0,603515,-0.02
2016-09-05,1.0,13.0,False,300531_300530_300535_601595,-1.06_-4.16_6.6_-1.82,4.0,,,300531_300530_601595,-1.06_-4.16_-1.82
2016-09-06,0.0,,,300533,9.03,1.0,002808,1.0,,
2016-09-07,0.0,,,002808,4.33,1.0,,,002808,4.33
2016-09-08,2.0,13.0,False,603159_002809,1.65_5.46,2.0,,,,
2016-09-09,1.0,5.0,False,300532,-4.46,1.0,,,,
2016-09-12,1.0,7.0,False,603031_300540,-8.28_-8.61,2.0,,,,
2016-09-13,3.0,12.0,True,603986,1.22,1.0,,,,
2016-09-14,2.0,16.0,False,,,,603007,1.0,,
2016-09-19,1.0,9.0,True,603007,-2.52,1.0,,,603007,-2.52
2016-09-20,2.0,19.0,False,002807_601163,4.06_4.64,2.0,,,,
2016-09-21,0.0,,,300538_002810_603658,-4.59_-6.22_-3.91,3.0,,,,
2016-09-22,0.0,,,,,,300537,1.0,,
2016-09-23,1.0,8.0,False,300537_603393,-5.55_-1.75,2.0,,,300537,-5.55
2016-09-26,0.0,,,603843_002811,-9.99_-9.99,2.0,,,,
2016-09-27,0.0,,,300539_603090,6.6_-10.0,2.0,,,,
2016-09-28,3.0,18.0,False,002812,-1.49,1.0,,,,
2016-09-29,0.0,,,300543,7.08,1.0,601500,1.0,,
2016-09-30,3.0,13.0,True,601500,-7.77,1.0,603067,1.0,601500,-7.77
2016-10-10,1.0,16.0,True,603067_300534,3.34_7.55,2.0,,,603067,3.34
2016-10-11,1.0,9.0,False,,,,,,,
2016-10-12,4.0,14.0,True,600908,9.72,1.0,,,,
2016-10-13,1.0,7.0,True,,,,,,,
2016-10-14,1.0,5.0,False,300541,8.2,1.0,,,,
2016-10-17,1.0,100.0,No Result,603189,-3.85,1.0,,,,
2016-10-18,3.0,10000.0,True,300536_601128,8.13_1.47,2.0,,,,
2016-10-19,0.0,,,,,,,,,
2016-10-20,0.0,,,,,,,,,
2016-10-21,3.0,100.0,No Result,603816,7.71,1.0,603313,1.0,,
2016-10-24,0.0,,,300542_603421_002815_603313,1.02_-3.77_5.59_4.88,4.0,603738_300547_603777,3.0,603313,4.88
2016-10-25,3.0,100.0,No Result,603738,3.45,1.0,300545,1.0,603738_300547_603777,3.45_10.0_9.99
2016-10-26,1.0,100.0,No Result,300547,0.26,1.0,,,300545_300547_603777,10.0_0.26_9.99
2016-10-27,1.0,4.0,True,,,,,,300545_603777,10.0_10.0
2016-10-28,1.0,100.0,No Result,,,,,,300545_603777,10.0_10.01
2016-10-31,1.0,100.0,No Result,300546_300545_300549,0.17_-5.04_9.95,3.0,603887,1.0,300545_603777,-5.04_10.01
2016-11-01,3.0,100.0,No Result,603887_603777,-1.11_4.84,2.0,600926,1.0,603887_603777,-1.11_4.84
2016-11-02,0.0,,,600926,5.37,1.0,,,600926,5.37
2016-11-03,0.0,,,,,,,,,
2016-11-04,1.0,100.0,No Result,,,,,,,
2016-11-07,2.0,100.0,No Result,,,,300548_300555,2.0,,
2016-11-08,1.0,100.0,No Result,,,,,,,
